player_name,tm_id,position,url
David Raya,208136,GK,https://www.transfermarkt.us/david-raya/verletzungen/spieler/208136
Kepa Arrizabalaga,192279,GK,https://www.transfermarkt.us/kepa-arrizabalaga/verletzungen/spieler/192279
Ben White,335721,RB,https://www.transfermarkt.us/ben-white/verletzungen/spieler/335721
William Saliba,495666,CB,https://www.transfermarkt.us/william-saliba/verletzungen/spieler/495666
Gabriel Magalhães,424028,CB,https://www.transfermarkt.us/gabriel-dos-santos-magalhaes/verletzungen/spieler/424028
Riccardo Calafiori,502821,LB,https://www.transfermarkt.us/riccardo-calafiori/verletzungen/spieler/502821
Jurriën Timber,558773,LB,https://www.transfermarkt.us/jurrien-timber/verletzungen/spieler/558773
Cristhian Mosquera,646750,CB,https://www.transfermarkt.us/cristhian-mosquera/verletzungen/spieler/646750
Myles Lewis-Skelly,890721,LB,https://www.transfermarkt.us/myles-lewis-skelly/verletzungen/spieler/890721
Declan Rice,357662,CM,https://www.transfermarkt.us/declan-rice/verletzungen/spieler/357662
Martin Ødegaard,316264,CAM,https://www.transfermarkt.us/martin-odegaard/verletzungen/spieler/316264
Mikel Merino,301386,CM,https://www.transfermarkt.us/mikel-merino/verletzungen/spieler/301386
Martin Zubimendi,423440,CM,https://www.transfermarkt.us/martin-zubimendi/verletzungen/spieler/423440
Christian Nørgaard,148367,CM,https://www.transfermarkt.us/christian-norgaard/verletzungen/spieler/148367
Bukayo Saka,433177,RW,https://www.transfermarkt.us/bukayo-saka/verletzungen/spieler/433177
Gabriel Martinelli,534272,LW,https://www.transfermarkt.us/gabriel-martinelli/verletzungen/spieler/534272
Kai Havertz,387150,CAM,https://www.transfermarkt.us/kai-havertz/verletzungen/spieler/387150
Viktor Gyökeres,325443,CF,https://www.transfermarkt.us/viktor-gyokeres/verletzungen/spieler/325443
Gabriel Jesus,363205,CF,https://www.transfermarkt.us/gabriel-jesus/verletzungen/spieler/363205
Leandro Trossard,384156,LW,https://www.transfermarkt.us/leandro-trossard/verletzungen/spieler/384156
Noni Madueke,503987,RW,https://www.transfermarkt.us/noni-madueke/verletzungen/spieler/503987
Eberechi Eze,479999,CAM,https://www.transfermarkt.us/eberechi-eze/verletzungen/spieler/479999
